15 143
1 2 9
1 3 3
1 4 1
1 5 3
1 6 1
1 7 1
1 9 2
1 10 8
1 12 6
2 3 5
2 4 2
2 5 10
2 6 3
2 7 7
2 8 10
2 9 6
2 10 2
2 12 4
2 13 3
2 14 4
3 1 2
3 4 6
3 5 10
3 6 1
3 8 10
3 9 10
3 10 5
3 11 10
3 12 8
3 13 7
3 14 5
4 1 1
4 2 6
4 5 8
4 6 3
4 7 5
4 9 4
4 12 8
4 15 5
5 2 9
5 7 5
5 8 1
5 9 5
5 13 2
5 15 6
6 1 6
6 3 1
6 4 2
6 5 6
6 7 3
6 9 3
6 11 3
6 12 7
6 13 6
6 14 3
6 15 5
7 2 8
7 3 10
7 4 4
7 5 1
7 8 1
7 9 5
7 10 9
7 11 10
7 14 4
7 15 7
8 1 2
8 2 1
8 3 5
8 6 3
8 7 8
8 10 8
8 11 8
8 13 7
8 14 7
9 2 9
9 4 10
9 5 1
9 6 7
9 7 1
9 8 9
9 12 6
9 14 3
9 15 3
10 2 3
10 3 5
10 4 3
10 5 3
10 6 2
10 7 6
10 8 7
10 9 6
10 11 7
10 12 3
10 13 5
10 14 6
11 1 7
11 2 8
11 8 4
11 9 2
11 10 1
11 12 4
11 13 6
11 14 4
12 1 5
12 2 5
12 3 9
12 4 2
12 5 9
12 6 4
12 7 5
12 8 7
12 11 5
13 2 4
13 3 7
13 6 8
13 9 3
13 11 3
13 12 9
13 14 7
13 15 10
14 1 1
14 2 6
14 3 7
14 4 10
14 5 6
14 6 3
14 7 10
14 8 9
14 9 3
14 10 6
14 13 2
15 3 10
15 4 5
15 5 1
15 6 6
15 7 6
15 9 3
15 10 6
15 11 5
15 12 4
15 13 3
15 14 3
